TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ; ;DE SAO PAULO       ;0;5.778;45.832;8.980;1.256;58;595;130;127;48.967
 ; ;DE ASUNCION        ;0;0;0;0;0;0;132;0;0;0
 ; ;DE MONTEVIDEO      ;0;0;47;6;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;GOL TRANS         ;0;25.651;143.150;74.262;51.637;44.823;62.314;56.214;433;49.709
T.A.M. LINEAS AEREAS;A SANTIAGO;DE BUENOS AIRES    ;0;0;0;0;0;0;316;354;151;628
 ; ;DE CORDOBA         ;0;0;0;0;0;0;0;0;580;0
 ; ;DE MENDOZA         ;0;0;0;0;0;0;0;0;156;0
 ; ;DE BRASILIA        ;0;0;0;0;0;0;0;0;0;116
 ; ;DE FLORIANAPOLIS   ;0;513;0;0;0;0;0;0;0;0
 ; ;DE PORTO ALEGRE    ;0;0;0;0;0;0;0;0;0;104
 ; ;DE RIO DE JANEIRO  ;134;0;261;60;0;132;0;4.291;41.255;19.203
 ; ;DE RIO GRANDE, BRA.;0;0;0;0;0;0;0;0;0;245
 ; ;DE SAO PAULO       ;35.904;55.970;77.990;74.780;119.123;151.052;137.772;170.530;239.395;215.593
 ; ;DE ASUNCION        ;0;0;0;0;0;0;329;0;0;0
 ; ;DE GUAYAQUIL       ;39;0;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;T.A.M. LINEAS AEREAS;36.077;56.483;78.251;74.840;119.123;151.184;138.417;175.175;281.537;235.889
VARIG             ;A SANTIAGO;DE BUENOS AIRES    ;152;171;0;0;0;0;0;0;0;0
 ; ;DE CORDOBA         ;153;0;0;0;0;0;0;0;0;0
 ; ;DE MENDOZA         ;343;0;0;0;0;0;0;0;0;0
 ; ;DE BRASILIA        ;0;138;0;0;0;0;0;0;0;0
